,Id,Sentiment,Pasangan Calon,Text Tweet,clean_teks
13,14,negative,Agus-Sylvi,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,kemarin ahy april suara paslon dki
14,15,negative,Agus-Sylvi,Karna yang belebihan itu tidak baik ya bah #AHY,belebihan ya bah ahy
15,16,negative,Agus-Sylvi,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om aa mana lepas ahy kalah tutup mulut koar bongkar sby
16,17,negative,Agus-Sylvi,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,catut nama ahy mpo silvi langgar hukum ya wkwkwkwkkwkk
17,18,negative,Agus-Sylvi,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,ya fpi suka ahok pas ahy kalah otomatis dukung lari mas anisa aniessandi
18,19,negative,Agus-Sylvi,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,banteng garuda ksatria prabowo gentle ahy agusyudhoyono cinta hajidjarot
19,20,negative,Agus-Sylvi,"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”",gara ektp korupsi foto ahy pelan skrang stickmoticons
20,21,negative,Agus-Sylvi,"Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide, sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id",double tertawa aniesbaswedan nuduh agusyudhoyono miskin ide copy ahy sbyudhoyono
21,22,negative,Agus-Sylvi,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,mana nih antasari ahy kalah pilgubdki melempem benerbener akting
22,23,negative,Agus-Sylvi,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,modal omong kerja nyata agusharimurtiyudhoyono ahy
23,24,negative,Agus-Sylvi,"#ahy, pakdhe karwo, Pilgub Jatim, Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim",ahy pakdhe karwo pilih gubernur jatim dhe karwo isyarat agus maju pilih gubernur jatim
24,25,negative,Agus-Sylvi,"Paslon salah langkah seperti dilakukan Sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",paslon salah langkah sandi bumerang gagal suara ahy zarazettirazz monethamrin
25,26,negative,Agus-Sylvi,"Jangan2, relawan inilah yang gembosi #AHY lalu.",rawan gembos ahy
26,27,negative,Agus-Sylvi,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",mana ahy sang ksatria samurai prajurit bangun semangat harap pahlawan dinantinantikan rakyat
27,28,negative,Agus-Sylvi,"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",ahy arena tabir gelap tiada harap sergap rakyat mana rakyat cari tulus
28,29,negative,Agus-Sylvi,"@AdjieRimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",adjierimbawan isu angkat video dishare video sebar buzzer ahy eh jelang putaranke sebar
29,30,negative,Agus-Sylvi,Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss,tau bu carik luviku coblos ahy kemarin piss
30,31,negative,Agus-Sylvi,Awas ye kalo minta dukungan suara pendukung #AHY	,awas ye dukung suara dukung ahy
31,32,negative,Agus-Sylvi,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq,laku kirim sms gelap antasari azhar indonesia sby ahy anies ahok berita jumatberkah rizieq
32,33,negative,Agus-Sylvi,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam,antasari ancam harry tanoe antasari ahok sby ahy berita metrotv indonesia jumatberkah kimjongnam
33,34,negative,Agus-Sylvi,"Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",tuduh ahy kerap lontar anak ingus mayor dengar dudah ubah sanjung
34,35,negative,Agus-Sylvi,JOKE terbaik selama pilkada serentak 2017 #bravo @masril_pku @Chilli_Pari #AHY.,joke baik pilkada serentak bravo masril pku chilli pari ahy
35,36,negative,Agus-Sylvi,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,curiga saldo kenti orang buat curiga mekanisme ahy
36,37,negative,Agus-Sylvi,ahoker masih bully #AHY,ahoker bully ahy
37,38,negative,Agus-Sylvi,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,sayang mayor ahy kader pimpin sma taruna beliau atas pilih pensiundini
38,39,negative,Agus-Sylvi,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,tuju bangett syukur kemarin banjir sibuk cari bela jangan sombong ahy banjirjkt
39,40,negative,Agus-Sylvi,pakai sedotan atau sodetan versi #AHY,pakai sedot sodet versi ahy
40,41,negative,Agus-Sylvi,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,hellloooo suara rakyat ngerti suara rakyat suara ahy or dek agusyudhoyono ngopi gih penikmatkopi
41,42,negative,Agus-Sylvi,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,cari teman ya ahy gubernur barumastbp
42,43,negative,Agus-Sylvi,"secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy",kesatria lapang dada hoax kalah ya menang ulama bayar ahy
43,44,negative,Agus-Sylvi,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",agus singkir ahok anies rebut suara ahy penting kelompok youtube ahok anies ahy pilih gubernur
44,45,negative,Agus-Sylvi,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,ahy hilang sempat duduk gubernur dki
45,46,negative,Agus-Sylvi,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,konstituen ahy risih mulut ahok pilih anies gerombol khilafah belakang pilih ahok
46,47,negative,Agus-Sylvi,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,cari teman ni yeedan gubernur barutunggu hasil resmi kpu dengar nyata ahy
47,48,negative,Agus-Sylvi,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,blunder ya hina ahy butuh suara ngemis orang hina jleb
48,49,negative,Agus-Sylvi,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,caci maki ahy pepo memo nya emis suara orang hina
49,50,negative,Agus-Sylvi,Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017,golput pilih ahy ya nampaknya pilkadadki
50,51,negative,Agus-Sylvi,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,merhatiin rawan ahy rehat ganjal islah rawan aniessandi
51,52,negative,Agus-Sylvi,"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?",ahy pakar mantan sby surat anas urbaningrum jeruji besi sindir mantan
52,53,negative,Agus-Sylvi,Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/,keluarga pilih ahy program dp nyata keluarga milih
53,54,negative,Agus-Sylvi,"#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur...",ahysylvi aniessandiaga basukidjarot debat pilkada dki jual mimpi gubernur
54,55,negative,Agus-Sylvi,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,ahhhh bang aji situ bikin kalah ahy
55,56,negative,Agus-Sylvi,"Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY",rendah hati dukung paslon berat hati foto ahy
56,57,negative,Agus-Sylvi,Aku bangga jadi anak memo. #AHY #moshing,bangga anak memo ahy moshing
57,58,negative,Agus-Sylvi,Pendukung #AHY sulit melupakan bully2 seperti ini,dukung ahy sulit lupa bully
58,59,negative,Agus-Sylvi,pantas saja #AHY hancur,ahy hancur
59,60,negative,Agus-Sylvi,"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy",anggap bulan jual pindah tangan orang elit partai gerindra pks pilkadadki ahy
60,61,negative,Agus-Sylvi,"#AHY, antasari, konferensi pers sby, sby, Konferensi Pers SBY seperti Rengekan Anak Kecil",ahy antasari konferensi pers sby sby konferensi pers sby rengek anak
61,62,negative,Agus-Sylvi,Tim yang tidak pernah tidur #ahy,tim tidur ahy
62,63,negative,Agus-Sylvi,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,coba etika dukung konstituen setia ahy tipu meme berita palsu rachland nashidik
63,64,negative,Agus-Sylvi,"Kasihan #AHY ,, Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.",kasihan ahy sadar musuh sarung selfienya motivasi selubung hmmm
64,65,negative,Agus-Sylvi,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati,amieeennnnn lupa janji manis kampanyeahy sang mayor sejati
65,66,negative,Agus-Sylvi,"Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.",pilkada dki ahy sby target hoax fitnah akunakun dukung ahok
66,67,negative,Agus-Sylvi,"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja",ahy mentah dikarbit demokrat pilkada dki menang milu pakai sentimen sara
67,68,negative,Agus-Sylvi,"Akibat pernyataan Antasari, suara AHY melorot pada Pilkada DKI.",akibat nyata antasari suara ahy lorot pilkada dki
68,69,negative,Agus-Sylvi,"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri",enam kampanye pilkada kubu ahy dukung ahok sibuk serang program ahy kampanye program ahok
69,70,negative,Agus-Sylvi,(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.,contoh ahy dukung paska putar pilkada dki jakarta rentang tajam
70,71,negative,Agus-Sylvi,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,ahy tim jalan jauh hiruk pikuk pilkada lanjut jalan politik kecewa panca bambangelf
71,72,negative,Agus-Sylvi,"Ketika AHY kalah & berpidato, semua timnya terdiam menangis, lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf",ahy kalah pidato tim diam menang lepas pilkada dki panca bambangelf
72,73,negative,Agus-Sylvi,"sejujurnya penilaian subyektif saya, terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal, tapi catatan negatif.",jujur nilai subyektif cepat ahy kalah pilkada modal catat negatif
73,74,negative,Agus-Sylvi,Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya,tolak bajing tengik ahy tukang sogok pilih bangsat ahy sungguh bahaya
74,75,negative,Agus-Sylvi,tolak ahy yang berpolitik membawa agama #AHYMaininSARA,tolak ahy politik bawa agama ahymaininsara
75,76,negative,Agus-Sylvi,"Astaga ini pendukung AHY tidak terima sekali dengan hasil survey,harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro",astaga dukung ahy terima hasil surveyharusnya tolak acu semangat efeknontonmetro
76,77,negative,Agus-Sylvi,"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY",sahsah tolak ukur dewasa warga dki ahy menang pola pikir warga primitif politikuangahy
77,78,negative,Agus-Sylvi,Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau,suara warga harga sembako tolak ahy suap warga abaaah murtadhaone rinjanijb fariz ananghijau
78,79,negative,Agus-Sylvi,Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya,ahy pilkada asyik ya
79,80,negative,Agus-Sylvi,tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY,tinggal seleksi tendemnya pilkada dki ahy kalah tendemnya salah pilih kurang kualitas ahy
80,81,negative,Agus-Sylvi,Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada,gelintir dukung ahy tikung tweet akun resmi parpol dukung aniessandi pilkada
81,82,negative,Agus-Sylvi,AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.,ahy tanggung akibat cuit ayah produktif
82,83,negative,Agus-Sylvi,"kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki",kering darah ahy menghisap darah anisandi mumpung stok darah bergudanggudang darah hantu minum setan pilkadadki
83,84,negative,Agus-Sylvi,"Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu, karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK",reaksi dukung ahy sikap baper cundang ajang pilkada pilkadadk
84,85,negative,Agus-Sylvi,"Dengan Suara Bergetar, AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G  #pilkadadki",suara getar ahy maaf kecewa dukung pilkadadki
85,86,negative,Agus-Sylvi,"AHY Kalah di Kandang, Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki",ahy kalah kandang respon tetangga pilkadadki
86,87,negative,Agus-Sylvi,"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI",lini tahan ahy rapuh debat efek aksi efek antasari efek pilkadadki
87,88,negative,Agus-Sylvi,Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki,gagal pilkada dki jakarta ahy isu maju pilih gubernur jatim headlines politikbirokrasi pilkadadki
88,89,negative,Agus-Sylvi,AHOK melejit... Anies menanjak... AHY mengapung... #PilkadaDKI,ahok lejit anies tanjak ahy apung pilkadadki
89,90,negative,Agus-Sylvi,"Berdasarkan survey sementara, AHY masuk 3 besar. Selamat! #PilkadaSerentak2017 #PilkadaDKI",dasar survey ahy masuk selamat pilkadaserentak pilkadadki
90,91,negative,Agus-Sylvi,"Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI",tinggal zona aman nyaman maju jakarta hasil sesuai harap ahy realitybites pilkadadki
91,92,negative,Agus-Sylvi,"Kasihan AHY kalah walaupun sudah umroh, dibantu doa 7 juta umat.Ternyata Allah itu netral, tidak berpolitik #PilkadaDKI",kasihan ahy kalah umroh bantu doa juta umatternyata allah netral politik pilkadadki
92,93,negative,Agus-Sylvi,"Jual baju bekas AHY, baru 3 bulan, PM for info #PilkadaDKI @AgusYudhoyono",jual baju bekas ahy pm informasi pilkadadki agusyudhoyono
93,94,negative,Agus-Sylvi,"AHY siap siap jadi vocalis BAND rock yaaaa, lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount",ahy vocalis band rock yaaaa lompat lompat mulu bang kerja pilkadadki quickcount
94,95,negative,Agus-Sylvi,"Kasian benar nasib AHY, karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak",kasihan nasib ahy karir tni tamat nafsu pepo cepat parpol dagang
95,96,negative,Agus-Sylvi,Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI,sby ahy kalah garagara antasari ya survey ahy merosot elektabilitasnya pilkadadki
96,97,negative,Agus-Sylvi,"Saya bertanya kepada Bapak Presiden, TV saya rusak apa ya? Kok AHY tidak naik naik hasil QC sementara? #PilkadaDKI *GPP*",presiden televisi rusak ya ahy hasil qc pilkadadki tidak-apa-apa
97,98,negative,Agus-Sylvi,Pepo sampai saat ini kok belum menyatakan prihatin AHY jadi pecundang #pilkadaDKI #pilkadarasapilpres #Pilkada2017,pepo prihatin ahy cundang pilkadadki pilkadarasapilpres pilkada
98,99,negative,Agus-Sylvi,Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres,selamat ahy rakyat mundur tni kalah pilkada dki pilkadadki pilkadarasapilpres
99,100,negative,Agus-Sylvi,heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	,heeebohhhhagus sylvi kalah tps agusyudhoyono hak pilih pilkadadki quickcount ahy
100,101,negative,Agus-Sylvi,Yang pilih #AHY semoga tidak  ikut demokrat yaa kalau benar mau dukung Ahok.,pilih ahy moga demokrat yaa dukung ahok
101,102,negative,Agus-Sylvi,"Demokrat ke Ahok, Gerindra: Ini Tantangan karena Mereka Bermain Politik Kotor http://dlvr.it/NNsyDv",demokrat ahok gerindra tantang main politik kotor
102,103,negative,Agus-Sylvi,"Mesin robot #AHY-Sylvi lupa dimatiin, jadi masih masuk trending topik",mesin robot ahysylvi lupa dimatiin masuk trending topik
103,104,negative,Agus-Sylvi,Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????,dukung ahy mari rapat baris paslon buang issu miring paslon pimpin dakwa simulut ember
104,105,negative,Agus-Sylvi,"Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi, tapi demi kepentingan rakyat sendiri. #TetapAHY",rakyat menang ahy kalah aspek ahy pribadi penting rakyat tetapahy
105,106,negative,Agus-Sylvi,"Maksud hati caper dari ahy/silvy, eh malah kena protes dari mereka <FACE WITH STUCK-OUT TOUNGES> <Rolling on the Floor Laughing> <Rolling on the Floor Laughing>",maksud hati caper ahysilvy eh kena protes muka with stuckout tounges rolling on the floor laughing rolling on the floor laughing
106,107,negative,Agus-Sylvi,"AHY bisa kok menang pilgub DKI, bisa.... Asal ngumpulin dulu 7 bola dragon ball <Rolling on the Floor Laughing> <Rolling on the Floor Laughing> #QuickCount #PilkadaDKI",ahy menang pilih gubernur dki ngumpulin bola dragon ball rolling on the floor laughing rolling on the floor laughing quickcount pilkadadki
107,108,negative,Agus-Sylvi,Ah sekarang kalau lihat AHY jadi inget Norman Kamaru Apakah AHY akan jualan bubur? Lalu naik haji <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI,ah lihat ahy norman kamaru ahy jual bubur haji smiling muka with open mouth smiling eyes pilkadadki
108,109,negative,Agus-Sylvi,"AHY kemungkinan besar tersingkir <Persevering Face> <Persevering Face> #PilkadaDKI hampir pasti dilanjuntukan di putaran kedua, Ahok-Djarot vs Anies-Sandi.",ahy singkir persevering muka persevering muka pilkadadki dilanjuntukan putar ahokdjarot vs aniessandi
109,110,negative,Agus-Sylvi,"AHY nyungsep , orang bapaknya aja menyarankan coblos no 2 <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI",ahy nyungsep orang bapak saran coblos nomor smiling muka with open mouth smiling eyes pilkadadki
110,111,negative,Agus-Sylvi,Mau nyoblos atau mau ke tempat berkabung. <Tongue> #Ahy memakai baju hitam2..atau lagi sedih <Smiling Face With Open Mouth & Smiling Eyes> #siapkalah di #Pilkadadki  @Metro_TV,nyoblos kabung tongue ahy pakai baju hitamatau sedih smiling muka with open mouth smiling eyes siapkalah pilkadadki metro tv
111,112,negative,Agus-Sylvi,AHY Sangat Cemas Terhadap Situasi Sosial Usai Pilkada Jakarta: Pilkada DKI Jakarta berdampak negatif bukan hanyaâ€¦ http://dlvr.it/PGqY,ahy cemas situasi sosial pilkada jakarta pilkada dki jakarta dampak negatif hanya
112,113,negative,Agus-Sylvi,AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.,ahy kalah sisi negatif umat islam tunda tempat pimpin sisi positif umat islam hindar hujat buka aib
113,114,negative,Agus-Sylvi,#DebatFinalPilkadaJKT AHY AHY Anda ngomong karakter.. Anda tau yang barusan Anda omongkan untuk melihat sisi negatif orang lain? <Tongue> <Oncoming Fist>,debatfinalpilkadajkt ahy ahy ngomong karakter tau barusan omong sisi negatif orang tongue oncoming fist
114,115,negative,Agus-Sylvi,"AHY hanya membicarakan negatif saja untuk Jakarta, tidak ada solusi yang tepat untuk mengatasi nol besar. <Thumbs Down> #Debat1PilkadaDKI",ahy bicara negatif jakarta solusi atas nol thumbs down debatpilkadadki
115,116,negative,Agus-Sylvi,Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY http://brt.st/5qQ7  via @beritasatu #JakartaAdalahKita,kicau negatif sby yakin pengaruh elektabilitas ahy via beritasatu jakartaadalahkita
116,117,negative,Agus-Sylvi,"Ya Alloh Tuhan YME, AHY ternyata didukung senator beraura negatif #SenatorDKIDukungAgusSylvi",ya alloh tuhan yme ahy dukung senator aura negatif senatordkidukungagussylvi
117,118,negative,Agus-Sylvi,"menemukan Foto seperti ini, Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>",temu foto lingkar orang ahy penuh integritas kwalitas negatif waspada waspada thumbs down
118,119,negative,Agus-Sylvi,wah si AHY 70% sentimennya negatif. Wkwkwk.<FACE WITH STUCK-OUT TOUNGES>,si ahy sentimen negatif wkwkwkface with stuckout tounges
119,120,negative,Agus-Sylvi,Senjata makan tuan aka karma @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY <FACE WITH STUCK-OUT TOUNGES>,senjata makan tuan aka karma beritasatu populerb kicau negatif sby yakin pengaruh elektabilitas ahy muka with stuckout tounges
120,121,negative,Agus-Sylvi,#AHY AniesHilangYa.. #AhokDjarotDiRosi. <Grimacing Face> <Grimacing Face> @KompasTV @Rosianna766Hi @SittaYohag @gunawanahokers @gUNJKT_ @PartaiSocmed @ulinyusron,ahy anieshilangya ahokdjarotdirosi grimacing muka grimacing muka kompastv rosiannahi sittayohag gunawanahokers gunjkt partaisocmed ulinyusron
121,122,negative,Agus-Sylvi,#AHY Anies Hilang Ya di debat @KompasTV #ahokdjarotdirosi <Grimacing Face> <Grimacing Face> @Takviri @WahhabiCC @embah72 @gerilyapolitik @cagubnyinyir @kangdede78,ahy anies hilang ya debat kompastv ahokdjarotdirosi grimacing muka grimacing muka takviri wahhabicc embah gerilyapolitik cagubnyinyir kangdede
122,123,negative,Agus-Sylvi,2.mesti nyuruh mantan pemilih #AHY-#Sylvi buat pilih paslon #Anies-#Sandi !!! <Face With Open Mouth> <THUMBS UP> <OK HAND> <FOLDED HANDS> <Thinking Face> <Smiling Face With Sunglasses> https://twitter.com/RestySeterah/status,mesti nyuruh mantan pilih ahysylvi pilih paslon aniessandi muka with open mouth thumbs up ok hand folded hands thinking muka smiling muka with sunglasses
123,124,negative,Agus-Sylvi,"1.Kenape kagak dilawan ama pasangan #AHY-#DickyChandra buat Pilgub Jabar ??? Cuma Demokrat emang hrs tegas dulu buat Pilgub DKI, <Thinking Face> <Thinking Face> <Thinking Face>",lawan pasang ahydickychandra pilih gubernur jawa barat demokrat emang pilih gubernur dki thinking muka thinking muka thinking muka
